ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-11-16,25774.31952823622,64226.25000000001,19631.821870826963,27872.583813668036,25774.31952823622,25774.31952823622,-2189.7500270929468,-2189.7500270929468,-2189.7500270929468,-2189.7500270929468,-2189.7500270929468,-2189.7500270929468,0.0,0.0,0.0,23584.569501143276
2015-11-23,25782.136199156466,64226.25000000001,19375.963120648175,27987.975664692705,25782.136199156466,25782.136199156466,-2161.12692371678,-2161.12692371678,-2161.12692371678,-2161.12692371678,-2161.12692371678,-2161.12692371678,0.0,0.0,0.0,23621.009275439686
2015-11-30,25939.574517222594,64226.25000000001,19612.92394292707,27998.516634849064,25939.574517222594,25939.574517222594,-2192.36553002493,-2192.36553002493,-2192.36553002493,-2192.36553002493,-2192.36553002493,-2192.36553002493,0.0,0.0,0.0,23747.208987197664
2015-12-07,26097.321599012113,64226.25000000001,19514.816926978616,28537.347139914153,26097.321599012113,26097.321599012113,-2037.8315188433255,-2037.8315188433255,-2037.8315188433255,-2037.8315188433255,-2037.8315188433255,-2037.8315188433255,0.0,0.0,0.0,24059.490080168787
2015-12-14,26255.370137481255,64226.25000000001,20635.904418441136,29206.6017131773,26255.370137481255,26255.370137481255,-1431.1813975177,-1431.1813975177,-1431.1813975177,-1431.1813975177,-1431.1813975177,-1431.1813975177,0.0,0.0,0.0,24824.188739963556
2015-12-21,26413.71276626222,64226.25000000001,21659.01435327481,30554.952067836897,26413.71276626222,26413.71276626222,-425.11637786935677,-425.11637786935677,-425.11637786935677,-425.11637786935677,-425.11637786935677,-425.11637786935677,0.0,0.0,0.0,25988.596388392863
2015-12-28,26572.342060946074,64226.25000000001,22947.82039583975,31691.386584101954,26572.342060946074,26572.342060946074,598.9576248785821,598.9576248785821,598.9576248785821,598.9576248785821,598.9576248785821,598.9576248785821,0.0,0.0,0.0,27171.299685824655
2016-01-04,26731.250540389592,64226.25000000001,23657.18443031032,32373.007966694808,26731.250540389592,26731.250540389592,1243.266082315656,1243.266082315656,1243.266082315656,1243.266082315656,1243.266082315656,1243.266082315656,0.0,0.0,0.0,27974.516622705247
2016-01-11,26890.430668045366,64226.25000000001,23798.449426555977,32790.56452173934,26890.430668045366,26890.430668045366,1376.2062229373896,1376.2062229373896,1376.2062229373896,1376.2062229373896,1376.2062229373896,1376.2062229373896,0.0,0.0,0.0,28266.636890982758
2016-01-18,27049.874853315032,64226.25000000001,23904.895696397485,32383.38945206052,27049.874853315032,27049.874853315032,1122.3147654437535,1122.3147654437535,1122.3147654437535,1122.3147654437535,1122.3147654437535,1122.3147654437535,0.0,0.0,0.0,28172.189618758784
2016-01-25,27209.57545292496,64226.25000000001,23459.527429273825,32336.862505004363,27209.57545292496,27209.57545292496,657.2695109663276,657.2695109663276,657.2695109663276,657.2695109663276,657.2695109663276,657.2695109663276,0.0,0.0,0.0,27866.84496389129
2016-02-01,27369.524772323854,64226.25000000001,23124.441286353893,31711.220959091832,27369.524772323854,27369.524772323854,82.73416132461759,82.73416132461759,82.73416132461759,82.73416132461759,82.73416132461759,82.73416132461759,0.0,0.0,0.0,27452.25893364847
2016-02-08,27529.715067101944,64226.25000000001,22874.035224406227,31650.90888510526,27529.715067101944,27529.715067101944,-520.2044604656083,-520.2044604656083,-520.2044604656083,-520.2044604656083,-520.2044604656083,-520.2044604656083,0.0,0.0,0.0,27009.510606636337
2016-02-15,27701.47084570804,64226.25000000001,22400.04990107872,31106.426858148778,27701.47084570804,27701.47084570804,-1010.208827142767,-1010.208827142767,-1010.208827142767,-1010.208827142767,-1010.208827142767,-1010.208827142767,0.0,0.0,0.0,26691.262018565274
2016-02-22,27873.484265158535,64226.25000000001,22034.5071601403,31011.542804532262,27873.484265158535,27873.484265158535,-1230.235825841513,-1230.235825841513,-1230.235825841513,-1230.235825841513,-1230.235825841513,-1230.235825841513,0.0,0.0,0.0,26643.248439317023
2016-02-29,28045.74564401223,64226.25000000001,22641.310239614388,31428.317928707576,28045.74564401223,28045.74564401223,-1126.789936151837,-1126.789936151837,-1126.789936151837,-1126.789936151837,-1126.789936151837,-1126.789936151837,0.0,0.0,0.0,26918.955707860394
2016-03-07,28218.245243336354,64226.25000000001,23089.86679534782,31987.31116579427,28218.245243336354,28218.245243336354,-787.054327831374,-787.054327831374,-787.054327831374,-787.054327831374,-787.054327831374,-787.054327831374,0.0,0.0,0.0,27431.19091550498
2016-03-14,28390.973268846534,64226.25000000001,23750.589624548953,32439.30846807349,28390.973268846534,28390.973268846534,-358.6832719187459,-358.6832719187459,-358.6832719187459,-358.6832719187459,-358.6832719187459,-358.6832719187459,0.0,0.0,0.0,28032.28999692779
2016-03-21,28563.919873073937,64226.25000000001,24180.753444388763,32861.771090282746,28563.919873073937,28563.919873073937,31.357762475668327,31.357762475668327,31.357762475668327,31.357762475668327,31.357762475668327,31.357762475668327,0.0,0.0,0.0,28595.277635549606
2016-03-28,28737.07515755845,64226.25000000001,24820.46672982592,33553.81240295624,28737.07515755845,28737.07515755845,280.7818859545785,280.7818859545785,280.7818859545785,280.7818859545785,280.7818859545785,280.7818859545785,0.0,0.0,0.0,29017.857043513028
2016-04-04,28910.429175066987,64226.25000000001,25113.333736807366,33596.7753260872,28910.429175066987,28910.429175066987,312.1757075949076,312.1757075949076,312.1757075949076,312.1757075949076,312.1757075949076,312.1757075949076,0.0,0.0,0.0,29222.604882661893
2016-04-11,29083.971931835862,64226.25000000001,24943.120251197666,33567.72211491816,29083.971931835862,29083.971931835862,154.72828754653867,154.72828754653867,154.72828754653867,154.72828754653867,154.72828754653867,154.72828754653867,0.0,0.0,0.0,29238.7002193824
2016-04-18,29257.69338983614,64226.25000000001,25004.34112601958,33666.24054257593,29257.69338983614,29257.69338983614,22.2044618017242,22.2044618017242,22.2044618017242,22.2044618017242,22.2044618017242,22.2044618017242,0.0,0.0,0.0,29279.897851637863
2016-04-25,29431.58346906094,64226.25000000001,25555.30493237621,34207.67864264581,29431.58346906094,29431.58346906094,208.50124444421692,208.50124444421692,208.50124444421692,208.50124444421692,208.50124444421692,208.50124444421692,0.0,0.0,0.0,29640.08471350516
2016-05-02,29605.632049833624,64226.25000000001,25849.211424359182,34437.860123829,29605.632049833624,29605.632049833624,806.5012471482856,806.5012471482856,806.5012471482856,806.5012471482856,806.5012471482856,806.5012471482856,0.0,0.0,0.0,30412.13329698191
2016-05-09,29777.093959875794,64226.25000000001,27092.96781283883,35594.29361255711,29777.093959875794,29777.093959875794,1529.5909555908866,1529.5909555908866,1529.5909555908866,1529.5909555908866,1529.5909555908866,1529.5909555908866,0.0,0.0,0.0,31306.68491546668
2016-05-16,29948.68987532126,64226.25000000001,27695.816536162558,36237.05096649196,29948.68987532126,29948.68987532126,1895.1671822651497,1895.1671822651497,1895.1671822651497,1895.1671822651497,1895.1671822651497,1895.1671822651497,0.0,0.0,0.0,31843.857057586407
2016-05-23,30120.410046116613,64226.25000000001,27253.664780994688,36279.882503239554,30120.410046116613,30120.410046116613,1654.1067398886978,1654.1067398886978,1654.1067398886978,1654.1067398886978,1654.1067398886978,1654.1067398886978,0.0,0.0,0.0,31774.51678600531
2016-05-30,30292.244693741835,64226.25000000001,26982.523124507454,35654.120141293926,30292.244693741835,30292.244693741835,1033.1722607254096,1033.1722607254096,1033.1722607254096,1033.1722607254096,1033.1722607254096,1033.1722607254096,0.0,0.0,0.0,31325.416954467244
2016-06-06,30464.18401342322,64226.25000000001,26547.321151287604,35115.73988141879,30464.18401342322,30464.18401342322,513.0553312646679,513.0553312646679,513.0553312646679,513.0553312646679,513.0553312646679,513.0553312646679,0.0,0.0,0.0,30977.239344687885
2016-06-13,30636.21817635887,64226.25000000001,26855.59834769995,35833.53019522773,30636.21817635887,30636.21817635887,364.6169560193234,364.6169560193234,364.6169560193234,364.6169560193234,364.6169560193234,364.6169560193234,0.0,0.0,0.0,31000.835132378194
2016-06-20,30808.337331956016,64226.25000000001,27005.315516001614,35767.89989495331,30808.337331956016,30808.337331956016,438.6292967605406,438.6292967605406,438.6292967605406,438.6292967605406,438.6292967605406,438.6292967605406,0.0,0.0,0.0,31246.966628716556
2016-06-27,30980.531610078942,64226.25000000001,26807.883248583432,35689.564353707094,30980.531610078942,30980.531610078942,413.72202420494585,413.72202420494585,413.72202420494585,413.72202420494585,413.72202420494585,413.72202420494585,0.0,0.0,0.0,31394.253634283887
2016-07-04,31152.791123306364,64226.25000000001,26892.931734249047,35968.523259374124,31152.791123306364,31152.791123306364,184.22827256933218,184.22827256933218,184.22827256933218,184.22827256933218,184.22827256933218,184.22827256933218,0.0,0.0,0.0,31337.019395875697
2016-07-11,31325.105969197408,64226.25000000001,26736.744298619382,35718.27404359034,31325.105969197408,31325.105969197408,-65.87387907690885,-65.87387907690885,-65.87387907690885,-65.87387907690885,-65.87387907690885,-65.87387907690885,0.0,0.0,0.0,31259.2320901205
2016-07-18,31497.46623256476,64226.25000000001,27160.82661176826,36054.437522579,31497.46623256476,31497.46623256476,-149.1854200758427,-149.1854200758427,-149.1854200758427,-149.1854200758427,-149.1854200758427,-149.1854200758427,0.0,0.0,0.0,31348.280812488916
2016-07-25,31490.930362351482,64226.25000000001,27156.119837636426,35610.56609787104,31490.930362351482,31490.930362351482,-124.04216413153793,-124.04216413153793,-124.04216413153793,-124.04216413153793,-124.04216413153793,-124.04216413153793,0.0,0.0,0.0,31366.888198219945
2016-08-01,31484.39454370351,64226.25000000001,26879.328328140604,36067.677648673205,31484.39454370351,31484.39454370351,-178.14938789219838,-178.14938789219838,-178.14938789219838,-178.14938789219838,-178.14938789219838,-178.14938789219838,0.0,0.0,0.0,31306.245155811313
2016-08-08,31477.8587771621,64226.25000000001,26778.222533845572,35386.43565924909,31477.8587771621,31477.8587771621,-306.65295771025876,-306.65295771025876,-306.65295771025876,-306.65295771025876,-306.65295771025876,-306.65295771025876,0.0,0.0,0.0,31171.20581945184
2016-08-15,31471.323063268475,64226.25000000001,26782.06057641002,35522.42621575914,31471.323063268475,31471.323063268475,-230.39792666164578,-230.39792666164578,-230.39792666164578,-230.39792666164578,-230.39792666164578,-230.39792666164578,0.0,0.0,0.0,31240.92513660683
2016-08-22,31464.787402563867,64226.25000000001,27483.09007689953,36294.27564221382,31464.787402563867,31464.787402563867,290.21476317746107,290.21476317746107,290.21476317746107,290.21476317746107,290.21476317746107,290.21476317746107,0.0,0.0,0.0,31755.002165741327
2016-08-29,31458.251795589473,64226.25000000001,28127.91027796048,37019.29146601945,31458.251795589473,31458.251795589473,1104.1897480310574,1104.1897480310574,1104.1897480310574,1104.1897480310574,1104.1897480310574,1104.1897480310574,0.0,0.0,0.0,32562.44154362053
2016-09-05,31451.71624288646,64226.25000000001,28989.611701873615,37232.0820354271,31451.71624288646,31451.71624288646,1728.3514064427354,1728.3514064427354,1728.3514064427354,1728.3514064427354,1728.3514064427354,1728.3514064427354,0.0,0.0,0.0,33180.0676493292
2016-09-12,31445.18074499601,64226.25000000001,28758.56450776785,37478.21967597182,31445.18074499601,31445.18074499601,1791.0712439438148,1791.0712439438148,1791.0712439438148,1791.0712439438148,1791.0712439438148,1791.0712439438148,0.0,0.0,0.0,33236.251988939825
2016-09-19,31438.645302459274,64226.25000000001,28542.949298836305,37145.355531141286,31438.645302459274,31438.645302459274,1370.868592735912,1370.868592735912,1370.868592735912,1370.868592735912,1370.868592735912,1370.868592735912,0.0,0.0,0.0,32809.51389519519
2016-09-26,31432.109915817353,64226.25000000001,27871.35093074563,36631.56559476602,31432.109915817353,31432.109915817353,851.0893898933531,851.0893898933531,851.0893898933531,851.0893898933531,851.0893898933531,851.0893898933531,0.0,0.0,0.0,32283.199305710707
2016-10-03,31425.574585611375,64226.25000000001,27247.874310298914,36237.932843585106,31425.574585611375,31425.574585611375,475.2876337210832,475.2876337210832,475.2876337210832,475.2876337210832,475.2876337210832,475.2876337210832,0.0,0.0,0.0,31900.86221933246
2016-10-10,31419.039312382447,64226.25000000001,27029.988733720485,35708.00060699025,31419.039312382447,31419.039312382447,126.01293699000966,126.01293699000966,126.01293699000966,126.01293699000966,126.01293699000966,126.01293699000966,0.0,0.0,0.0,31545.052249372457
